"일련번호","아파트","도로명주소","월","일","전용면적","층","거래금액"
"11680-4202","한양수자인어반게이트","서울특별시 강남구 봉은사로29길 35",2,19,16.2,3,"21000"
"11680-83","현대","서울특별시 강남구 선릉로 748",2,19,84.92,4,"147000"
"11680-522","LG선릉에클라트","서울특별시 강남구 테헤란로63길 12",2,19,36.47,15,"37000"
"11680-216","개포우성","서울특별시 강남구 선릉로 120",2,20,84.69,8,"247500"
"11680-573","개포주공","서울특별시 강남구 개포로 310",2,20,50.64,4,"260000"
"11680-314","까치마을","서울특별시 강남구 광평로19길 10",2,20,34.44,8,"79000"
"11680-3623","도곡렉슬","서울특별시 강남구 선릉로 221",2,20,59.9772,10,"160000"
"11680-4173","래미안도곡카운티","서울특별시 강남구 도곡로 320",2,20,71.85,20,"220000"
"11680-168","삼성동롯데","서울특별시 강남구 학동로 432",2,20,91.77,9,"187000"
"11680-528","선릉역대우아이빌","서울특별시 강남구 테헤란로64길 9",2,20,28.34,11,"26000"
"11680-280","성원대치","서울특별시 강남구 개포로109길 9",2,20,33.18,9,"96500"
"11680-109","신동아","서울특별시 강남구 강남대로146길 28",2,20,114.34,12,"172000"
"11680-3621","역삼래미안","서울특별시 강남구 선릉로69길 19",2,20,59.4,9,"160000"
"11680-218","은마","서울특별시 강남구 삼성로 212",2,20,76.79,5,"193000"
"11680-218","은마","서울특별시 강남구 삼성로 212",2,20,84.43,8,"218000"
"11680-200","홍실","서울특별시 강남구 영동대로128길 15",2,20,96.32,5,"235000"
"11680-314","까치마을","서울특별시 강남구 광평로19길 10",2,21,39.6,6,"87000"
